hour,location,weather_condition,congestion_level
22,BTM Layout,clear,Low
15,Electronic City,clear,Low
16,Koramangala,flood_alert,High
21,Electronic City,rain,Low
13,HSR Layout,rain,Low
18,BTM Layout,clear,Moderate
20,Koramangala,rain,Moderate
5,Bellandur,rain,Moderate
1,BTM Layout,clear,Low
7,Koramangala,clear,Moderate
6,HSR Layout,clear,Low
20,Bellandur,rain,Moderate
21,Electronic City,rain,Moderate
0,Koramangala,rain,Low
11,Bellandur,clear,Low
19,HSR Layout,storm,Severe
3,Koramangala,clear,Low
19,HSR Layout,flood_alert,Severe
2,HSR Layout,rain,Low
11,Electronic City,clear,Low
19,Electronic City,storm,High
7,Electronic City,rain,High
8,BTM Layout,rain,High
6,HSR Layout,clear,Low
17,Electronic City,rain,Moderate
6,HSR Layout,clear,Low
23,Koramangala,clear,Low
10,Koramangala,clear,Low
11,BTM Layout,clear,Moderate
12,HSR Layout,clear,Low
13,Electronic City,rain,Moderate
13,HSR Layout,clear,Low
12,Electronic City,clear,Low
23,Bellandur,flood_alert,High
19,Koramangala,clear,Moderate
19,Bellandur,clear,Moderate
16,HSR Layout,clear,Low
14,Bellandur,clear,Low
8,BTM Layout,clear,Moderate
23,Koramangala,rain,Moderate
11,Electronic City,clear,Low
5,BTM Layout,storm,High
20,Koramangala,flood_alert,Severe
3,Koramangala,rain,Low
20,BTM Layout,clear,Moderate
14,Koramangala,clear,Low
2,Electronic City,clear,Low
1,Bellandur,clear,Low
10,BTM Layout,storm,Moderate
0,Electronic City,clear,Low
3,Electronic City,rain,Low
12,Koramangala,rain,Low
23,Bellandur,clear,Low
11,BTM Layout,clear,Low
19,Bellandur,rain,High
22,Koramangala,rain,Moderate
19,BTM Layout,clear,Moderate
15,Electronic City,storm,High
10,Bellandur,clear,Low
12,Koramangala,clear,Low
6,BTM Layout,clear,Low
11,Bellandur,rain,Low
9,Koramangala,clear,Moderate
5,Electronic City,clear,Low
23,BTM Layout,rain,Moderate
0,BTM Layout,clear,Low
2,Electronic City,rain,Moderate
4,HSR Layout,rain,Moderate
23,Electronic City,rain,Moderate
16,HSR Layout,clear,Low
