rainfall_mm,temperature_c,humidity_pct,wind_speed_kmh,disaster_type
73.2,23.6,72.8,19.3,Normal
99.2,25.6,59.4,2.7,Landslide
64.3,30.1,91.5,95.1,Cyclone
57.6,28.6,83.6,44.4,Landslide
107.8,31.3,74.4,19.5,Flood
61.4,24.1,96.9,49.4,Landslide
82.1,30.4,47.5,57.0,Normal
76.6,33.4,69.9,31.8,Flood
107.7,30.9,75.5,9.3,Flood
50.4,29.6,56.3,31.8,Normal
132.8,28.6,74.5,21.4,Flood
41.0,25.7,53.4,29.4,Normal
85.8,28.7,80.4,24.0,Landslide
79.0,34.0,85.9,115.6,Cyclone
38.1,28.5,74.1,52.9,Normal
90.8,25.4,42.2,12.9,Normal
53.3,27.0,55.5,70.6,Cyclone
28.4,29.8,78.5,15.5,Normal
98.8,27.5,70.3,47.9,Landslide
19.8,30.9,29.6,43.3,Normal
33.1,31.1,88.6,55.6,Normal
63.8,32.6,72.0,14.1,Normal
107.2,34.7,57.7,9.4,Flood
94.7,33.0,84.9,41.4,Landslide
72.4,25.3,59.8,1.2,Normal
14.2,25.4,59.7,15.2,Normal
39.6,28.7,75.4,8.2,Normal
46.8,27.2,96.7,12.2,Landslide
27.3,24.4,94.4,9.0,Normal
10.5,27.2,75.4,55.3,Normal
66.0,27.1,76.9,18.6,Landslide
96.7,26.3,81.9,9.9,Landslide
44.0,27.7,51.1,21.7,Normal
106.3,33.7,79.7,67.1,Flood
17.6,29.8,59.0,16.0,Normal
25.9,38.9,74.8,32.2,Normal
65.0,29.7,66.6,18.2,Normal
41.1,27.8,77.5,101.6,Cyclone
91.4,29.0,71.8,38.0,Flood
81.5,30.0,23.9,144.8,Cyclone
43.4,30.7,72.7,18.0,Normal
19.3,37.3,79.6,28.1,Normal
39.6,25.6,76.7,18.3,Normal
82.9,32.4,68.5,86.6,Cyclone
93.9,29.8,94.6,11.9,Landslide
41.2,22.7,74.7,23.3,Normal
10.5,32.1,76.6,66.5,Normal
16.7,34.1,85.7,27.0,Normal
78.3,25.6,75.4,8.1,Normal
42.9,29.0,56.5,47.7,Normal
43.7,22.1,33.4,45.1,Normal
25.5,24.0,62.8,29.8,Normal
25.1,33.2,81.4,62.1,Normal
105.1,27.1,64.7,56.2,Flood
80.2,24.6,82.0,12.8,Normal
35.4,29.9,72.2,29.9,Normal
61.7,26.9,89.3,98.0,Cyclone
69.5,27.1,65.6,114.0,Cyclone
164.8,32.0,77.0,64.5,Flood
23.2,24.4,77.6,21.7,Normal
68.8,25.4,92.5,3.4,Landslide
104.8,29.6,44.4,19.4,Normal
152.6,32.9,63.1,11.2,Flood
33.9,34.0,82.7,102.7,Cyclone
42.4,26.3,93.2,6.2,Landslide
92.0,32.7,73.6,13.1,Flood
13.9,25.9,65.6,41.3,Normal
73.7,36.3,81.4,35.2,Normal
203.1,24.5,83.0,94.8,Flood
79.1,34.3,64.6,53.8,Normal
5.3,26.4,75.0,31.6,Normal
28.8,37.1,87.7,80.6,Cyclone
34.8,31.4,98.4,25.9,Normal
121.0,24.9,81.1,99.9,Cyclone
51.5,26.9,70.7,17.2,Normal
10.7,32.1,69.2,34.3,Normal
55.9,33.2,78.4,4.1,Normal
64.4,28.7,68.3,66.8,Normal
38.6,29.2,72.8,39.6,Normal
24.7,32.0,54.1,100.1,Cyclone
217.0,29.5,89.5,29.1,Flood
105.0,23.8,52.9,9.5,Normal
111.4,25.7,63.5,49.1,Landslide
51.5,29.9,71.5,22.9,Normal
33.5,33.9,99.9,60.4,Normal
40.1,35.5,63.7,17.5,Normal
17.5,32.1,60.0,88.5,Cyclone
162.7,30.1,61.7,37.2,Landslide
53.1,32.0,94.9,31.7,Normal
139.5,26.3,27.8,84.6,Cyclone
41.7,28.4,55.0,67.5,Normal
79.9,25.7,100.0,19.7,Landslide
67.0,24.0,78.9,66.1,Cyclone
15.8,30.3,53.4,57.1,Normal
176.0,29.7,69.4,33.1,Flood
42.7,31.8,71.0,62.5,Normal
21.2,31.2,82.7,88.3,Cyclone
92.5,30.0,97.6,33.9,Landslide
58.1,31.2,75.8,34.0,Normal
75.0,28.8,61.9,32.6,Normal
62.5,30.7,81.8,19.0,Flood
6.1,26.1,59.5,33.6,Normal
27.9,30.5,54.5,30.8,Normal
27.0,31.7,43.6,29.5,Normal
110.3,26.3,46.5,29.1,Flood
59.7,29.2,56.6,13.1,Normal
83.3,26.5,52.3,72.1,Cyclone
44.7,26.9,74.7,22.3,Normal
86.2,24.5,52.0,91.6,Cyclone
51.6,34.1,22.8,15.8,Normal
48.8,33.3,54.3,105.5,Cyclone
66.7,31.1,62.9,26.9,Normal
62.5,36.9,60.9,66.7,Normal
262.0,28.2,92.8,39.3,Flood
27.6,41.1,60.8,11.5,Normal
14.0,28.1,83.2,12.0,Normal
73.8,30.0,69.7,20.8,Normal
31.2,27.4,69.4,25.7,Normal
5.2,30.5,57.5,34.7,Normal
22.3,32.3,69.1,45.7,Normal
226.1,28.5,58.5,31.3,Flood
27.0,36.1,72.6,43.9,Normal
9.5,30.0,66.5,49.2,Normal
217.1,30.1,55.8,30.3,Flood
21.5,25.4,84.9,56.5,Normal
312.7,30.7,76.4,65.4,Flood
43.2,28.5,63.3,50.1,Normal
176.5,26.6,72.2,52.1,Landslide
47.9,25.9,68.7,41.2,Normal
80.3,39.7,57.0,76.4,Cyclone
52.5,27.9,71.1,35.3,Landslide
48.2,23.2,60.7,21.1,Normal
69.5,26.2,55.8,36.1,Normal
82.3,28.8,45.7,11.6,Normal
65.6,31.2,64.6,10.3,Normal
60.8,31.2,78.5,65.6,Normal
31.4,31.7,59.6,92.6,Cyclone
54.0,26.4,100.0,27.6,Landslide
